8.319359997576727395e-01;5.548715998383784154e-01;0.000000000000000000e+00
8.238344366284188203e-01;5.657889826095193753e-01;3.434600679585258359e-02
8.156227636266929482e-01;5.743664001144919151e-01;6.973339138085023203e-02
8.107823032128428364e-01;5.756958397148334017e-01;1.058600818623832568e-01
7.981108385511538339e-01;5.863965434393080267e-01;1.384130890833883687e-01
7.870824699548019110e-01;5.950453768572292468e-01;1.625490232843201377e-01
7.803165814579141601e-01;5.947923330092490524e-01;1.932048480117641576e-01
7.705640372616875400e-01;5.988753394036234745e-01;2.181270096369625766e-01
7.623693923251807503e-01;5.975277779555977498e-01;2.485024430809094353e-01
7.549858807379362657e-01;5.967983628690375353e-01;2.717131464673712693e-01
7.432991320699521287e-01;5.954829083776989052e-01;3.048056857968577948e-01
7.315912731632678856e-01;6.005480011571023846e-01;3.226705864152442094e-01
7.210376874057158325e-01;6.025814959033504170e-01;3.420529113097819929e-01
7.129393947839701706e-01;5.994246288092779373e-01;3.638784601236045857e-01
7.057371183842005014e-01;5.990745766284084617e-01;3.782126007581689819e-01
6.972987191191624134e-01;5.937106495235741077e-01;4.015995031832972906e-01
6.911225994538128248e-01;5.904668717085866936e-01;4.167714312892379369e-01
6.903017548547434323e-01;5.847300653220088851e-01;4.261152871617972515e-01
6.936689286267819776e-01;5.739571821553832720e-01;4.351971628009821402e-01
6.947080078510396994e-01;5.670402998926612481e-01;4.425450057624428779e-01
6.996421985672559574e-01;5.532419993003775405e-01;4.521328169842324662e-01
6.993633598868778112e-01;5.433378096797758516e-01;4.644081345326769861e-01
6.948224554934966379e-01;5.318377889785628199e-01;4.841180863760222719e-01
6.745622801399691060e-01;5.351686627757695769e-01;5.084881833387678851e-01
6.574884632521017513e-01;5.352344851853850782e-01;5.303140263643093544e-01
6.459552619983170985e-01;5.355536994723867350e-01;5.439890021665197972e-01
6.394824610968800060e-01;5.265579788793777194e-01;5.601775404529728553e-01
6.352465417141530679e-01;5.178393683794840774e-01;5.729783763778054650e-01
6.374895843139880558e-01;5.112627356407747348e-01;5.763830714345189454e-01
6.365614296481920675e-01;5.007013094971612954e-01;5.865899291260271431e-01
6.343761534454718243e-01;4.908543668092543721e-01;5.971841311722985157e-01
6.316452533972398697e-01;4.836502525608028513e-01;6.058933132644792607e-01
