y_true;y_pred
3.168749333605047;221.93414381607965
2.8830350478908073;44.52396549975383
42.311606476462366;80.96821866768082
98.02589219074815;113.25983295074899
-119.6883935235377;-101.91062164472824
-269.6883935235377;-253.0337742205246
-168.25982209496627;-139.94666402691846
916.3116064764622;879.898372855941
162.02589219074792;203.16855338852727
-77.68839352353764;-106.52292974878829
-136.54553638068052;88.22998082210653
-126.83125066639475;-127.73516040178315
72.3116064764624;44.25806282427855
-120.25982209496617;-198.09678989016058
-101.68839352353785;-77.03517794253275
-133.97410780925202;-36.909925531145284
-101.68839352353785;-77.03517794253275
138.59732076217662;104.25410435074676
515.4544636193194;514.9113293837943
123.74017790503373;97.24456222178966
-213.11696495210904;-239.82182230067536
-277.40267923782335;-292.8438854099645
270.0258921907479;228.76623047302792
736.8830350478908;694.713275820382
824.5973207621763;827.2568430243477
31.74017790503374;66.86072602236354
312.0258921907477;340.0258588501278
295.1687493336053;244.7095542499468
230.025892190748;197.54732156573806
364.3116064764621;134.32127955025757
591.1687493336049;564.429895123312
-66.54553638068052;-23.386038904618
21.740177905033764;-107.89816427956002
69.1687493336053;105.09673113163447
803.4544636193197;784.1488083562555
-122.83125066639492;-169.88447242870893
-101.68839352353785;-77.03517794253275
222.31160647646232;263.450920132145
100.88303504789084;72.17821792603252
222.31160647646232;263.450920132145
383.1687493336052;283.75144678361414
-25.688393523537638;11.069947346576287
222.31160647646232;263.450920132145
252.31160647646234;211.65396230313272
-101.68839352353785;-77.03517794253275
402.88303504789087;392.45206424943734
864.0258921907481;736.0230666345977
-98.25982209496628;-24.238047770401977
-265.40267923782335;-227.73446917138233
186.31160647646234;-74.57729396879405
-157.97410780925208;0.5411270963646851
172.31160647646237;184.45846534751746
-101.11696495210914;-144.6699282036541
250.5973207621766;209.82651396744498
-418.25982209496624;-375.1819195920406
222.31160647646232;263.450920132145
97.74017790503376;72.17821792603252
-131.40267923782343;-175.54625949017606
-20.831250666394965;-183.82317299839428
-37.97410780925182;1.3818773850982908
170.8830350478908;132.15666267049525
706.5973207621764;692.4086340920578
-185.97410780925193;-131.18104718750544
598.025892190748;637.2164299212736
312.3116064764624;270.6793109291156
178.88303504789081;190.78060557217367
721.4544636193192;741.9323307601626
-147.4026792378233;-121.611145682467
-333.4026792378233;-226.1109075857064
622.8830350478906;638.2998157594724
-101.68839352353785;-77.03517794253275
-159.4026792378234;-135.38359555196675
383.45446361931954;427.4668660030664
376.3116064764625;341.48698301787203
222.31160647646232;263.450920132145
139.16874933360526;179.31007631452212
-320.25982209496624;-285.9660458182822
916.3116064764622;903.2079087289202
-297.4026792378233;-258.3204213644826
726.8830350478906;696.6633523590748
-307.6883935235377;-310.5129667866676
-22.831250666394695;-218.67090982287667
591.1687493336049;564.429895123312
-156.25982209496615;-127.47705598973891
222.31160647646232;263.450920132145
478.5973207621767;481.11280916150616
-102.83125066639498;-148.38900338967383
440.8830350478908;425.6305234277831
400.025892190748;359.2983883387426
73.45446361931927;0.5411270963707885
415.4544636193195;428.2864018263656
-332.2598220949661;-394.24291495379435
222.31160647646232;263.450920132145
-281.68839352353757;-273.2639644072894
-180.83125066639482;-220.63647732935772
-310.83125066639485;-280.2998572403345
180.59732076217662;219.0103867567296
-295.9741078092519;-261.1705821171479
135.7401779050337;99.66386112990591
422.0258921907479;449.7526778291541
721.1687493336049;359.8473513815044
140.88303504789084;128.22502698008472
90.88303504789087;91.16244004081527
78.88303504789081;56.88836129157086
789.7401779050339;426.03676888034283
916.3116064764622;385.7320823635115
-324.5455363806805;-373.94495654844224
436.3116064764624;469.56597736961436
-443.68839352353757;-406.4024539806305
703.4544636193192;656.4198078675269
178.31160647646217;141.51447721937987
180.3116064764624;165.65443516776844
-179.68839352353763;-139.12963829425416
618.8830350478906;578.9024006482024
726.025892190748;741.7855953895811
606.8830350478906;510.3024783493382
135.7401779050337;128.2272026311553
222.31160647646232;263.450920132145
552.0258921907479;351.8015178359045
12.597320762176649;50.1289754221211
-101.68839352353785;-77.03517794253275
619.7401779050339;604.3063977306342
628.025892190748;658.5288361653169
859.1687493336048;872.445560863724
271.74017790503376;271.1003789601326
-101.68839352353785;-77.03517794253275
31.45446361931951;67.88502129626553
72.02589219074792;93.1149206067687
176.59732076217657;173.16426652384547
362.5973207621767;321.8515597630772
150.31160647646212;173.18441592421973
153.74017790503368;112.78552077076405
-319.97410780925173;-293.34513849928567
-290.8312506663947;-264.80979058331053
-41.688393523537634;-10.469339683968851
355.16874933360504;387.51141677578994
64.59732076217662;0.5411270963707885
140.31160647646237;126.10707932389914
824.8830350478908;868.8732448050258
29.454463619319522;70.77436802189361
249.45446361931934;219.37243604116026
-283.68839352353774;-261.9323828944378
216.31160647646237;152.22002066603304
354.31160647646215;385.8325583736829
65.74017790503375;52.628688866497974
429.45446361931954;456.7988631088698
130.8830350478908;93.4107020202391
222.31160647646232;263.450920132145
-101.68839352353785;-77.03517794253275
183.45446361931948;143.25673528264426
-235.68839352353768;-238.44063380071879
222.31160647646232;263.450920132145
916.3116064764622;887.7808548709802
-294.54553638068046;-44.61050392603338
-312.8312506663947;-277.87153343191625
36.88303504789082;93.07663298050909
-269.68839352353757;-243.41773895902367
391.74017790503365;393.74871747473725
-292.83125066639474;-262.759588938334
1.454463619319479;-313.8473192584896
379.16874933360504;340.9281238264164
51.740177905033704;212.28694230093043
-441.4026792378234;-424.56115946631496
730.3116064764622;693.9559897824843
-281.116964952109;-206.54013825735342
-197.97410780925196;-144.8264081290271
598.025892190748;574.2242140105759
620.8830350478906;578.9024006482024
